name,score,ingredients
huangjisoo Red fruit Brightening mask/ Red and green color package mask sheet,1,"WATER, GLYCERETH-26, GALACTOMYCES FERMENT FILTRATE, TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, SQUALANE, MALUS DOMESTICA FRUIT EXTRACT, ACORUS CALAMUS ROOT EXTRACT, HYDROLYZED COLLAGEN, SODIUM HYALURONATE, MALPIGHIA EMARGINATA (ACEROLA) FRUIT EXTRACT, ARTEMISIA VULGARIS EXTRACT, BRASSICA OLERACEA ITALICA (BROCCOLI) EXTRACT, ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT, BUTYLENE GLYCOL, JASMINUM OFFICINALE (JASMINE) EXTRACT, ECHINACEA ANGUSTIFOLIA EXTRACT, MALT EXTRACT, 1,2-HEXANEDIOL, COCO-CAPRYLATE, PANAX GINSENG LEAF/STEM EXTRACT, SCUTELLARIA BAICALENSIS (BAIKAL SKULLCAP) ROOT EXTRACT, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, MORUS ALBA (WHITE MULBERRY) LEAF EXTRACT, LAMINARIA JAPONICA EXTRACT, GYNOSTEMMA PENTAPHYLLUM EXTRACT, PROPOLIS EXTRACT, POLYGLUTAMIC ACID, PHASEOLUS RADIATUS SEED EXTRACT, LITHOSPERMUM ERYTHRORHIZON ROOT EXTRACT, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, BETA-GLUCAN, TOCOPHEROL, XANTHAN GUM, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, CINNAMOMUM CASSIA BARK EXTRACT, ETHYLHEXYLGLYCERIN, PELARGONIUM GRAVEOLENS FLOWER OIL, NIACINAMIDE, ARGININE, CITRUS RETICULATA (TANGERINE) LEAF OIL"
huangjisoo Centella repairing mask/ green and purple color package mask sheet,1,"WATER, GLYCERETH-26, BUTYROSPERMUM PARKII (SHEA BUTTER), TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT, SODIUM HYALURONATE, AESCULUS HIPPOCASTANUM (HORSE CHESTNUT) EXTRACT, PHASEOLUS RADIATUS SEED EXTRACT, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, DIOSPYROS KAKI LEAF EXTRACT, CENTELLA ASIATICA (GOTU KOLA) EXTRACT, ALLIUM SATIVUM (GARLIC) EXTRACT, BUTYLENE GLYCOL, LYCIUM CHINENSE FRUIT EXTRACT, ALOE BARBADENSIS (ALOE VERA) LEAF EXTRACT, MORUS ALBA (WHITE MULBERRY) LEAF EXTRACT, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, MAGNOLIA KOBUS BARK EXTRACT, 1,2-HEXANEDIOL, PLANTAGO ASIATICA EXTRAC, LAVANDULA ANGUSTIFOLIA (LAVENDER) EXTRACT, SOPHORA ANGUSTIFOLIA ROOT EXTRACT, CERAMIDE, COCO-CAPRYLATE, HOUTTUYNIA CORDATA (TSI) EXTRACT, ARCTIUM LAPPA (BURDOCK) ROOT EXTRACT, TARAXACUM OFFICINALE (DANDELION) EXTRACT, GINKGO BILOBA (MAIDENHAIR TREE) LEAF EXTRACT, PORTULACA OLERACEA (GREEN PURSLANE) EXTRACT, TOCOPHERYL ACETATE, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, XANTHAN GUM, PROPOLIS EXTRACT, ACACIA CONCINNA FRUIT POWDER, ETHYLHEXYLGLYCERIN, BETA-GLUCAN, ARGININE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, ALLANTOIN"
Tropic Deep Hydration Soothing Cooling Mask,1,"ribes nigrum leaf and fruit infusion, aqua, glycerin, biosaccharide gum-1, cetearyl alcohol, simmondsia chinensis seed oil, stearic acid, cocos nucifera oil, selaginella lepidophylla extract, amorphophallus konjac root powder, leuconostoc/radish root ferment filtrate, butyrospermum parkii butter extract, bisabolol, allantoin, syzygium leuhmanii fruit extract, tasmannia lanceolata fruit extract, tasmannia lanceolata fruit / leaf extract, kunzea pomifera fruit extract, beta vulgaris, cocos nucifera fruit extract, lonicera japonica flower extract, lonicera caprifolium flower extract, inulin lauryl carbamate, lactobacillus, lactobacillus ferment, ultramarines, jojoba esters, sodium anisate, sodium levulinate, glyceryl caprylate, maltodextrin, citric acid, lactic acid, limonene*, linalool*, citronellol*, geraniol*"
huangjisoo Shea butter nourishing mask/ yellow and sky blue color package mask sheet,1,"WATER, GLYCERETH-26, TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT, BUTYROSPERMUM PARKII (SHEA BUTTER), POLYGLUTAMIC ACID, LAMINARIA JAPONICA EXTRACT, PUNICA GRANATUM (POMEGRANATE) EXTRACT, POLYGONUM MULTIFLORUM (HE SHOU WU) ROOT EXTRACT, BUTYLENE GLYCOL, ANGELICA GIGAS ROOT EXTRACT, SQUALANE, PANAX GINSENG ROOT EXTRACT, PROPANEDIOL, SODIUM HYALURONATE, RUBUS COREANUS FRUIT EXTRACT, COCO-CAPRYLATE, HYDROLYZED EXTENSIN, CINNAMONUM CASSIA BARK EXTRACT, SILK AMINO ACIDS, CAMELLIA SINENSIS LEAF EXTRACT, MORUS ALBA (WHITE MULBERRY) LEAF EXTRACT, 1,2-HEXANEDIOL, ANTHEMIS NOBILIS (CHAMOMILE) FLOWER EXTRACT, IRIS FLORENTINA ROOT EXTRACT, LYCIUM CHINENSE FRUIT EXTRACT, YEAST EXTRACT, TRITICUM VULGARE (WHEAT) SEED EXTRACT, BETA-GLUCAN, SCUTELLARIA BAICALENSIS (BAIKAL SKULLCAP) ROOT EXTRACT, EQUISETUM GIGANTEUM EXTRACT, PROPOLIS EXTRACT, GINKGO BILOBA LEAF EXTRACT, XANTHAN GUM, VITIS VINIFERA (GRAPE) SEED EXTRACT, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, CIMICIFUGA DAHURICA ROOT EXTRACT, TOCOPHERYL ACETATE, PULSATILLA KOREANA EXTRACT, ETHYLHEXYLGLYCERIN, SH-OLIGOPEPTIDE-1, ARGININE, SALVIA SCLAREA (CLARY) OIL, ALLANTOIN, CARBOMER"
Whamisa Organic Seeds Hydrogel Mask,1,"[Sheet] Water, *Hordeum Vulgare Seed Extract, *Aloe Maculata Leaf Extract, Ceratonia Siliqua Gum, *Lactobacillus/Rice Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Phaseolus Angularis Seed Ferment Filtrate, *Lactobacillus/Glycine Soja (Soybean) Ferment Filtrate, Xanthan Gum, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract; [Essence] *Aloe Maculata Leaf Extract, *Lactobacillus/Hordeum Vulgare Seed Ferment Filtrate, *Lactobacillus/Rice Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Lactobacillus/Phaseolus Angularis Seed Ferment Filtrate, *Lactobacillus/Glycine Soja (Soybean) Ferment Filtrate, *Lactobacillus/Sesamum Indicum (Sesame) Seed Ferment Filtrate, *Corylus Avellana (Hazel) Seed Oil, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Lavandula Angustifolia (Lavender) Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, ****Adenosine."
Inna Organic Lemon-scented Tea Tree Mattifying Facial Mask,1,"Demineralized Water, Butylene Glycol, Propanediol, Glycerin, Polyglyceryl-4 Caprate, Calendula Officinalis Flower Extract, Sodium Levulinate, Epilobium Fleischeri Extract, Sodium Anisate, Nasturtium Officinale Extract, Arctium Lappa Root Extract, Salvia Officinalis (Sage) Leaf Extract, Citrus Limon (Lemon) Fruit Extract, Hedera Helix (Ivy) Extract, Saponaria Officinalis Extract, Propylene Glycol, Sodium Dehydroacetate, Dipotassium Glycyrrhizate, Allantoin, Xanthan Gum, Citric Acid, Citrus aurantium dulcis (Orange) Peel Oil, Leptospermum petersonii oil, Rosmarinus officinalis (Rosemary) Leaf Oil, Citrus aurantium bergamia (Bergamot) Fruit Oil"
Lacfin Facial Sheet Mask For Brides To Be,1,"Sodium Hyaluronate, Panthenol, Malus Domestica Fruit Cell Culture, Hydrolyzed collagen, Milk Protein, Acetyl Hexapeptide-8 (Argireline), Palmitoyl Dipeptide-10, OLEA EUROPAEA (OLIVE) LEAF EXTRACT, Tropaeolum majus flower/lead/stem Extract, Porphyridium cruentum extract, Camellia Sinensis leaf Extract, Rosmarinus officinalis (Rosemary) Leaf Extract, Honey Extract, Glycerin, Water (Aqua), Sodium Levulinate, Sodium Anisate, Phenoxyethanol"
Inna Organic Myrrh Detoxifying Facial Mask,1,"Demineralized Water, Butylene Glycol, Propanediol, Glycerin, Polyglyceryl-4 Caprate, Sodium Levulinate, Coco-Glucoside, Glyceryl Oleate, Salvia Sclarea (Clary) Extract, Sodium Anisate, Sodium Dehydroacetate, Dipotassium Glycyrrhizate, Xanthan Gum, Sodium Hyaluronate, Allantoin, Aloe barbadensis leaf extract, Bioflavonoids, Brassica Oleracea Italica (Broccoli) Extract, Allantoin, Citric Acid, Commiphora Myrrha Oil, Lavendula Angustifolia Oil, Salvia sclarea (Clary) Oil, Pogostemon cablin Oil"
Tropic Face Lift Brightening Tightening Mask,1,"kaolin, sambucus nigra flower infusion, aqua, glycerin, magnesium aluminum silicate, glycolic acid, caprylic / capric triglyceride, saccharomyces/agave americana leaf ferment filtrate, beta-carotene, hippophae rhamnoides oil, lonicera caprifolium flower extract, lonicera japonica flower extract, spilanthes acmella flower extract, avena sativa kernel flour, curcuma longa root powder, tocopherol, sodium levulinate, sodium anisate"
The Big Green Juicy Kids Face Mask,1,"Water, Propanediol, Glycerin, Squalane, Panthenol, Butyrospermum Parkii (Shea) Butter, Persea Gratissima (Avocado) Oil, Olea Europaea (Olive) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Allantoin, Pyrus Malus (Apple) Seed Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Arginine, Vitis Vinifera (Grape) Seed Extract, Daucus Carota Sativa (Carrot) Root Extract, Spinacia Oleracea (Spinach) Leaf Extract, Brassica Oleracea Italica (Broccoli) Extract, Citrus Aurantium Dulcis (Orange) Oil, 1,2-Hexanediol, Illicium Verum (Anise) Fruit Extract, Scutellaria Baicalensis Root Extract"
Lacfin Composited Facial Sheet Mask,1,"Sodium Hyaluronate, Panthenol, Malus Domestica (apple) Fruit Cell Culture, Hydrolyzed collagen, Milk Protein, Acetyl Hexapeptide-8 (Argireline), Palmitoyl Dipeptide-10, OLEA EUROPAEA (OLIVE) LEAF EXTRACT, Tropaeolum majus flower/lead/stem Extract, Porphyridium cruentum extract, Camellia Sinensis leaf Extract, Rosmarinus officinalis (Rosemary) Leaf Extract, Honey Extract, Glycerin, Water (Aqua), Sodium Levulinate, Sodium Anisate, Phenoxyethanol"
Inna Organic Green Tea Rose Soothing Hydrosol Mask,1,"Demineralized Water, Rosa Damascena Flower Water*, Glycerin, Propanediol, Aloe Barbadensis leaf juice*, Anthemis Nobilis Flower Water*, Betaine, Sodium Levulinate, Avena Sativa (Oat Kernel Flour), Sodium Anisate, Oryza sativa Extract*, Olea Europaea (Olive) Leaf Extract, Sodium Dehydroacetate, Dipotassium Glycyrrhizate, Camellia Sinensis Leaf Extract*, Xanthan Gum, Sodium Hyaluronate, Citric Acid"
Inna Organic Myrrh Deep Moisturizing Facial Mask,1,"Demineralized Water, Aloe Barbadensis Leaf Juice*, Glycerin, Propanediol, Anthemis Nobilis Flower Water*, Cupressus sempervirens Leaf Water*, Polyglyceryl-4 Caprate, Betaine, Sodium Levulinate, Dipotassium Glycyrrhizate, Sodium Dehydroacetate, Sodium Anisate, Olea Europaea (Olive) Leaf Extract, Salvia Sclarea (Clary) Extract*, Xanthan Gum, Sodium Hyaluronate, Linum Usitatissimum (Linseed) Seed Extract, Citric Acid, Commiphora Myrrha Oil*, Lavendula Angustifolia Oil*, Salvia sclarea (Clary) Oil*, Pogostemon cablin Oil*, Aloe barbadensis leaf extract, Bioflavonoids, Brassica Oleracea Italica (Broccoli) Extract"
Whamisa Organic Flowers Hydrogel Mask,1,"[Sheet] Water, *Aloe Maculata Leaf Extract, Ceratonia Siliqua Gum, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinale (Dandelion) Rhizome/Root Ferment Filtrate, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, Xanthan Gum, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract; [Essence] *Aloe Maculata Leaf Extract, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinale (Dandelion) Rhizome/Root Ferment Filtrate, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, *Lactobacillus/Maculata Aloe Leaf/Molasses Ferment Filtrate, *Helichrysum Italicum Extract, *Rhodiola Rosea Root Extract, *Corylus Avellana (Hazel) Seed Oil, ****(-)-alpha-bisabolol, *Brassica Oleracea Italica (Broccoli) Extract, *Camellia Japonica Seed Oil, Xanthan Gum, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil."
Inna Organic Frankincense Revitalizing Facial Mask,1,"Demineralized Water, Butylene Glycol, Propanediol, Glycerin, Polyglyceryl-4 Caprate, Hydrolyzed Manihot Esculenta Tuber Extract, Sodium Levulinate, Oryza sativa Extract, Camellia sinensis Leaf Extract, Sodium Dehydroacetate, Dipotassium Glycyrrhizate, Sodium Anisate, Boswellia Neglecta Resin Oil, Xanthan Gum, Allantoin, Buddleja Davidii Extract, Citric Acid, Lavendula Angustifolia Oil, Fusanus Spicatus Wood Oil"
huangjisoo Tea-tree soothing mask/ sky blue and yellow color package mask sheet,1,"WATER, GLYCERETH-26, TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT, TREHALOSE, SQUALANE, BUTYLENE GLYCOL, MENTHA ARVENSIS EXTRACT, POLYGLUTAMIC ACID, TRITICUM VULGARE (WHEAT) SEED EXTRACT, ALLIUM CEPA (ONION) BULB EXTRACT, CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT, OPUNTIA COCCINELLIFERA, SCHIZANDRA CHINENSIS FRUIT EXTRACT, MORUS ALBA (WHITE MULBERRY) LEAF EXTRACT, ARCTIUM LAPPA ROOT EXTRACT, COCO-CAPRYLATE, CITRUS PARADISI (GRAPEFRUIT) FRUIT EXTRACT, SILYBUM MARIANUM EXTRACT, CINNAMOMUM CASSIA BARK EXTRACT, LAVANDULA ANGUSTIFOLIA (LAVENDER) EXTRACT, HYDROLYZED COLLAGEN, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, SCUTELLARIA BAICALENSIS (BAIKAL SKULLCAP) ROOT EXTRACT, 1,2-HEXANEDIOL, PROPOLIS EXTRACT, DIOSPYROS KAKI LEAF EXTRACT, PANAX GINSENG ROOT EXTRACT, PROPANEDIOL, SH-OLIGOPEPTIDE-1, CHRYSANTHEMUM MORIFOLIUM FLOWER EXTRACT, TOCOPHERYL ACETATE, SILK AMINO ACIDS, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, ARTEMISIA VULGARIS EXTRACT, LITHOSPERMUM ERYTHRORHIZON ROOT EXTRACT, SOPHORA ANGUSTIFOLIA ROOT EXTRACT, XANTHAN GUM, LAMINARIA JAPONICA EXTRACT, BETA-GLUCAN, ETHYLHEXYLGLYCERIN, ALLANTOIN, MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL, ADENOSINE"
QTBT Daily Snail Sheet Mask,1,"Water, Glycerin, Methylpropanediol, Butylene Glycol, Isopentyldiol, 1,2-Hexanediol, Hydroxyacetophenone, Snail Secretion Filtrate, Carbomer, Xanthan Gum, Arginine, Polyglyceryl-10 Laurate, Disodium EDTA, Sodium Hyaluronate, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cymbopogon Martini Oil, Juniperus Mexicana Oil, Litsea Cubeba Fruit Oil, Citric Acid, Sodium Citrate"
Lowen's Natural Skin Care The Mask!,1,"Aqua, Canadian Colloidal Clay, Carthamus Tinctorius (Safflower) Oleosomes, Aloe Barbadensis Leaf Powder, Lavender (Lavandula Angustifolia) Oil, Bergamot Fruit (Citrus Bergamia) Oil, Juniper Berry (Juniperus Communis) Oil, Ylang Ylang Flower (Ca1ga Odorata) Oil, Phenoxyethanol, Ethylhexylglycerin."
Proverb Shave & Cleanse Nutri Mud,1,"AQUA (WATER), KAOLIN, GLYCERIN, CANOLA (RAPESEED) OIL, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) KERNEL OIL, HYDROGENATED VEGETABLE OIL, ZINC OXIDE, PERSEA GRATISSIMA (AVOCADO) FRUIT OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, CETEARYL ALCOHOL, CETEARYL GLUCOSIDE, BUTYROSPERMUM PARKII (SHEA) NUT BUTTER, CERA ALBA (BEESWAX), COCOYL HYDROLYZED ALBUMEN, GLYCERYL STEARATE SE, OLEA EUROPAEA (OLIVE) FRUIT OIL, EUTERPE OLERACEA (ACAI PALM) KERNEL OIL, SESAMUM INDICUM (SESAME) SEED OIL, PLUKENETIA VOLUBILIS (INCA INCHI) SEED OIL, LACTOBACILLUS/TOMATO FRUIT FERMENT EXTRACT, SODIUM DEHYDROACETATE, HECTORITE, SUCROSE COCOATE, OCIMUM BASILICUM (BASIL) LEAF OIL, BENZYL ACETATE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL, CITRUS LIMON (LEMON) PEEL OIL, EUGENIA CARYOPHYLLUS (CLOVE) BUD EXTRACT, LAVANDULA ANGUSTIFOLIA (LAVENDER) PLANT OIL, LAVANDULA HYBRIDA (LAVANDIN) PLANT OIL, LITSEA CUBEBA (MOUNTAIN PEPPER) FRUIT OIL, METHYL ANTHRANILATE, CITRUS AURANTIUM DULCIS (SWEET ORANGE) PEEL OIL, POGOSTEMOM CABLIN (PATCHOULI) OIL, CITRUS AURANTIUM AMARA (BITTER ORANGE) LEAF OIL, CITRUS SINENSIS (ORANGE) PEEL EXTRACT, THYMUS VULGARIS (THYME) FLOWER/LEAF OIL, TRIETHYL CITRATE, PSEUDOALTEROMONAS FERMENT EXTRACT, TOCOPHEROL, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, CAPRYLYL GLYCOL, LIMONENE, LINALOOL, MAY CONTAIN +/- CITRIC ACID"
Inna Organic Frankincense Rich Revitalizing Facial Mask,1,"Demineralized Water, Aloe Barbadensis Leaf Juice*, Glycerin, Cupressus sempervirens Leaf Water*, Propanediol, Polyglyceryl-4 Caprate, Anthemis Nobilis Flower Water*, Sodium Levulinate, Oryza sativa Extract*, Camellia sinensis Leaf Extract*, Sodium Dehydroacetate, Dipotassium Glycyrrhizate, Maltose, Agave Tequilana Stem Extract, Sodium Anisate, Boswellia Neglecta Resin Oil*, Olea Europaea (Olive) Leaf Extract, Xanthan Gum, Citric Acid, Lavandula Angustifolia Oil*, Fusanus Spicatus Wood Oil*, Buddleja Davidii Extract*, Sodium Benzoate, Potassium Sorbate"
